issue_id,issue_key,resolution,issue_status,issue_type,created_date,resolution_date,description,organisation,load_date
"14048","SD-3983","","Pending","Service Request","2023-09-14T10:27:34.853+1200","","ProCare - aks-lin01-22697143-vmss000000 in memory pressure status","ProCare","2023-10-01"
"14046","SD-3981","Done","Closed","Service Request","2023-09-14T08:24:16.333+1200","2023-09-22T15:21:03.759+1200","Incident INC0245202 assigned to your squad: Okta PIN code not working with Secret Server","The Warehouse Group","2023-10-01"
"14044","SD-3980","Done","Resolved","Problem","2023-09-14T08:09:35.155+1200","2023-09-15T07:42:39.468+1200","Metlifecare - Veeam 365 onedrive backup warning ","Metlifecare","2023-10-01"
"14021","SD-3979","","In Progress","Service Request","2023-09-13T15:13:03.183+1200","","FW: NZGT: SSL Certs coming up for renewal","NZGT","2023-10-01"
"14019","SD-3978","Done","Closed","Service Request","2023-09-13T12:35:03.344+1200","2023-09-15T12:31:08.612+1200","Kordia Cyber Defence Operations Customer Advisory - CVE-2023-4863 - Mozilla Firefox and Thunderbird Zero Day ","Kordia","2023-10-01"
"14017","SD-3977","Done","Closed","Service Request","2023-09-13T12:26:37.515+1200","2023-09-14T08:41:23.929+1200","Metlifecare - add Fileshare to VBA ","Metlifecare","2023-10-01"
"14016","SD-3976","Done","Closed","Service Request","2023-09-13T12:24:59.116+1200","2023-09-15T11:38:13.588+1200","Kordia Cyber Customer Advisory - Microsoft September 2023 Patch Tuesday Advisory ","Kordia","2023-10-01"
"14014","SD-3975","Done","Resolved","Problem","2023-09-13T11:41:37.954+1200","2023-09-14T09:05:51.592+1200","TWG - AD user account import errors","The Warehouse Group","2023-10-01"
"14013","SD-3974","Done","Closed","Service Request","2023-09-13T11:14:00.284+1200","2023-09-13T11:14:53.560+1200","[Kordia Corp] Host Not Reporting for at least 5 minutes on 'WINBKP20'","Kordia","2023-10-01"
"14012","SD-3973","Duplicate","Closed","Service Request","2023-09-13T11:11:37.621+1200","2023-09-14T11:12:05.102+1200","Incident INC0239949  has a new comment","The Warehouse Group","2023-10-01"
"14010","SD-3972","Done","Resolved","Change","2023-09-13T10:43:09.996+1200","2023-09-27T09:11:54.295+1300","LIC Patching Batch Prod & MF Licensing Southeast 2023-09-27","LIC","2023-10-01"
"14009","SD-3971","Done","Resolved","Change","2023-09-13T10:33:55.411+1200","2023-09-22T07:14:53.422+1200","LIC Patching Batch Accp 2023-09-21","LIC","2023-10-01"
"14008","SD-3970","Done","Resolved","Change","2023-09-13T10:23:47.552+1200","2023-09-19T12:36:15.780+1200","LIC Patching Batch Dev & MF Licensing East 2023-09-19","LIC","2023-10-01"
"14007","SD-3969","Done","Closed","Service Request","2023-09-13T10:15:30.594+1200","2023-09-22T09:06:09.066+1200","[NZHL] Investigate SQL databases vulnerability findings - NZHL ","NZHL","2023-10-01"
"14006","SD-3968","Done","Closed","Service Request","2023-09-13T09:50:44.751+1200","2023-09-22T09:50:22.751+1200","Kordia Cyber Defence Operations Customer Advisory - Adobe Acrobat and Adobe Reader Zero Day ","NZGT","2023-10-01"
"14004","SD-3967","Done","Closed","Service Request","2023-09-13T09:49:45.045+1200","2023-09-18T13:16:11.726+1200","VBA patching - NZHL ","NZHL","2023-10-01"
"14003","SD-3966","Done","Closed","Service Request","2023-09-13T09:23:43.691+1200","2023-09-13T11:40:06.150+1200","Incident INC0239047  has a new comment","","2023-10-01"
"14001","SD-3965","Done","Resolved","Problem","2023-09-13T07:52:45.691+1200","2023-09-14T07:59:14.678+1200","NZGT- VBA backuup warning for server NZGTSage","NZGT","2023-10-01"
"14000","SD-3964","Done","Closed","Service Request","2023-09-13T01:02:16.342+1200","2023-09-13T12:41:52.699+1200","Incident INC0245077 assigned to your squad: Service Request - Remove Order for Sunjay Kanji of Secret Server","The Warehouse Group","2023-10-01"
"13998","SD-3963","Done","Closed","Service Request","2023-09-13T01:02:07.825+1200","2023-09-13T14:23:35.317+1200","Incident INC0245076 assigned to your squad: Service Request - Remove Order for Mihai Enache of Secret Server","The Warehouse Group","2023-10-01"
"13996","SD-3962","","In Progress","Service Request","2023-09-12T16:25:18.060+1200","","Incident INC0245047 assigned to your squad: Healthchecks","The Warehouse Group","2023-10-01"
"13994","SD-3961","Duplicate","Closed","Service Request","2023-09-12T15:32:52.977+1200","2023-09-12T16:08:29.885+1200","Additonal comments has been added for Task SCTASK0072306 - Secret Server","The Warehouse Group","2023-10-01"
"13992","SD-3960","Done","Closed","Service Request","2023-09-12T15:05:36.646+1200","2023-09-14T18:18:03.019+1200","Re: Increase VM Configuration by 2 vCPU counts - LICRRWPSQL2GP03","LIC","2023-10-01"
"13990","SD-3959","Done","Closed","Service Request","2023-09-12T14:50:58.863+1200","2023-09-12T16:53:28.436+1200","Ado licenses for Yana David","EMA","2023-10-01"
"13988","SD-3958","Declined","Closed","Service Request","2023-09-12T11:19:08.060+1200","2023-09-12T17:05:22.549+1200","Incident INC0244954 assigned to your squad: 897 SIDC - Cameron Taylor needs Okta authentication reset","","2023-10-01"
"13986","SD-3957","Done","Closed","Service Request","2023-09-12T09:37:04.930+1200","2023-09-12T10:13:31.327+1200","Kordia Cyber Customer Advisory - Google Chrome Zero Day ","Kordia","2023-10-01"
"13984","SD-3956","","In Progress","Service Request","2023-09-11T17:23:26.842+1200","","RE: Ticket#3884458/Livestock/Urgent - Copy AE load files from hardhead server to licazsbatchd01 - FEEDBACK - some files were truncated.","LIC","2023-10-01"
"13982","SD-3955","Duplicate","Closed","Service Request","2023-09-11T15:22:30.238+1200","2023-09-11T15:30:39.104+1200","RE: [EXTERNAL] DDoS Attack Detected [INX0665288]","The Warehouse Group","2023-10-01"
"13980","SD-3954","Done","Closed","Service Request","2023-09-11T14:32:16.577+1200","2023-09-11T14:32:44.179+1200","DDoS attack on noelleeming.co.nz","The Warehouse Group","2023-10-01"
"13979","SD-3953","","Pending","Service Request","2023-09-11T13:45:14.322+1200","","Incident INC0239949 assigned to your squad: Secret Server Password Safe - Create Security Group :-    .TWL Secret Server GoAnywhere","The Warehouse Group","2023-10-01"
"13977","SD-3952","Done","Closed","Service Request","2023-09-11T12:52:48.546+1200","2023-09-12T10:22:14.589+1200","Change notification email for vcare","Metlifecare","2023-10-01"
"13975","SD-3951","Done","Closed","Service Request","2023-09-11T12:00:43.808+1200","2023-09-11T15:05:20.735+1200","Incident INC0244765 assigned to your squad: 897 SIDC - Please reset Okta authentication for Dan Koster","The Warehouse Group","2023-10-01"
"13973","SD-3950","Duplicate","Closed","Service Request","2023-09-11T11:02:58.726+1200","2023-09-12T15:35:04.183+1200","Catalog Task SCTASK0072306 for Secret Server has been assigned to group Secret Server Support","The Warehouse Group","2023-10-01"
"13971","SD-3949","Done","Closed","Service Request","2023-09-11T11:02:40.281+1200","2023-09-14T12:10:50.161+1200","Additonal comments has been added for Task SCTASK0072306 - Secret Server","The Warehouse Group","2023-10-01"
"13969","SD-3948","Done","Closed","Service Request","2023-09-11T10:54:00.569+1200","2023-09-11T10:54:30.263+1200","Increasing 500 errors detected on thewarehouse.co.nz","The Warehouse Group","2023-10-01"
"13968","SD-3947","Declined","Closed","Service Request","2023-09-11T10:48:56.161+1200","2023-09-13T11:37:18.539+1200","Incident INC0244727 assigned to your squad: Two new Duco Consultancy contractors have no logon details - can't access TWG. Please assist urgently.","The Warehouse Group","2023-10-01"
"13966","SD-3946","Done","Closed","Service Request","2023-09-11T10:03:19.790+1200","2023-09-11T13:35:51.345+1200","Remove VMs from backup ","Metlifecare","2023-10-01"
"13964","SD-3945","Done","Resolved","Change","2023-09-11T10:01:37.328+1200","2023-09-11T13:15:03.177+1200","Turn off customer VM SVR-TIM-01","Sealink","2023-10-01"
"13963","SD-3944","Done","Closed","Service Request","2023-09-11T09:07:22.630+1200","2023-09-11T11:25:36.682+1200","Incident INC0244695 assigned to your squad: 897 SIDC - Please reset Okta authentication for Emma Waipouri","The Warehouse Group","2023-10-01"
